EmpID,FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,
3113,Giselle,Calderon,03-Feb-19,02-Apr-19,Production Technician II,Donna Duffy,giselle.calderon@bilearner.com,TNS,Active,Contract,Zone C,Full-Time,Voluntary,Stock indeed about brother campaign.,Production       ,Project Management - Con,02-07-1981,MA,Coordinator,Female,96092,White,Divorced,Fully Meets,4,high
2097,Parker,Fritz,06-Dec-18,09-Apr-19,Production Technician II,Kenneth Mathews,parker.fritz@bilearner.com,WBL,Active,Part-Time,Zone C,Full-Time,Retirement,Laugh effort pressure fund.,Production       ,Aerial,25-02-1964,MA,Lineman,Female,29605,Black,Widowed,PIP,2,low
2355,Karter,Perry,25-Mar-19,23-Apr-19,Data Analyst,Elizabeth Gray,karter.perry@bilearner.com,WBL,Active,Contract,Zone C,Temporary,Retirement,Teacher often knowledge free best.,IT/IS,Field Operations,17-01-1943,MA,Civil Hand,Male,91193,Asian,Single,Fully Meets,1,very low
2901,Deshawn,Ayers,21-Oct-18,24-Apr-19,Production Technician I,Yesenia Hawkins,deshawn.ayers@bilearner.com,PYZ,Active,Part-Time,Zone A,Part-Time,Involuntary,Although allow describe school meet argue office.,Production       ,Wireline Construction,21-12-1991,MA,Foreman,Female,52065,White,Single,Fully Meets,4,high
3251,Elliana,Thomas,15-Feb-19,25-Apr-19,Production Technician I,Natalie Cox,elliana.thomas@bilearner.com,WBL,Voluntarily Terminated,Contract,Zone A,Part-Time,Resignation,Any record environment.,Production       ,Field Operations,12-04-1956,MA,Laborer,Male,36234,White,Divorced,Fully Meets,5,very high
2397,Marcos,Sloan,19-Sep-18,29-Apr-19,Production Manager,Barry Powell,marcos.sloan@bilearner.com,TNS,Active,Part-Time,Zone B,Full-Time,Retirement,Husband should TV sport message friend history.,Production       ,Field Operations,22-08-1990,MA,Laborer,Female,90692,Other,Widowed,Fully Meets,2,low
2030,Yuliana,Nelson,26-Apr-19,13-May-19,Production Technician I,Nicole Rodriguez,yuliana.nelson@bilearner.com,PYZ,Active,Full-Time,Zone B,Full-Time,Resignation,Station opportunity already agency blood answer.,Production       ,Wireline Construction,13-08-1982,MA,Operator,Female,34988,Asian,Married,Fully Meets,3,medium
1685,Lillie,Wilkerson,11-Nov-18,27-May-19,BI Director,Jeremy Wright,lillie.wilkerson@bilearner.com,NEL,Terminated for Cause,Full-Time,Zone A,Full-Time,Retirement,Action whatever school machine fear.,IT/IS,Aerial,26-06-1968,MA,Foreman,Female,16287,Black,Divorced,Fully Meets,3,medium
3159,Mollie,Woodward,23-Aug-18,19-Jun-19,Production Technician II,Lindsay White,mollie.woodward@bilearner.com,WBL,Active,Full-Time,Zone B,Part-Time,Voluntary,Allow decide education consider early such.,Production       ,Field Operations,29-05-1978,MA,Groundman,Female,24940,Asian,Married,Fully Meets,4,high
2283,Sean,Quinn,03-Oct-18,27-Jun-19,Shared Services Manager,Michael Stevenson,sean.quinn@bilearner.com,WBL,Voluntarily Terminated,Part-Time,Zone B,Temporary,Retirement,Available area dog Republican big town left.,Admin Offices,Field Operations,17-12-1961,MA,Technician,Male,2045,White,Single,Fully Meets,4,high
3240,Kyan,Fritz,12-Aug-18,05-Jul-19,Production Technician II,Taylor Kim,kyan.fritz@bilearner.com,TNS,Voluntarily Terminated,Full-Time,Zone C,Temporary,Voluntary,Kid decision small fire year eat.,Production       ,Shop (Fleet),05-03-1980,MA,Shop,Female,60148,Asian,Married,Fully Meets,2,low
1456,Kamila,Rosales,25-Jun-19,09-Jul-19,Production Technician I,Brittany Payne,kamila.rosales@bilearner.com,PYZ,Active,Full-Time,Zone B,Full-Time,Resignation,Amount much food.,Production       ,Engineers,08-10-1956,MA,Engineer,Female,55931,Hispanic,Married,Exceeds,3,medium
3974,Zander,Franco,25-Dec-18,10-Jul-19,Data Architect,Ronnie Garcia,zander.franco@bilearner.com,BPC,Terminated for Cause,Part-Time,Zone C,Full-Time,Involuntary,Way appear summer strong.,IT/IS,General - Eng,07-01-1986,TX,Engineer,Male,97255,Other,Married,Exceeds,3,medium
2751,Mathew,Linden,27-Oct-18,10-Jul-19,Production Technician II,Steven White,mathew.linden@bilearner.com,NEL,Leave of Absence,Full-Time,Zone B,Part-Time,Retirement,Seek reason commercial method among back war.,Production       ,Field Operations,15-04-1967,MA,Laborer,Male,1770,Black,Single,Fully Meets,5,very high
1236,Ramon,Goodwin,25-Nov-18,25-Jul-19,Production Technician II,Tina Morgan,ramon.goodwin@bilearner.com,BPC,Voluntarily Terminated,Part-Time,Zone B,Full-Time,Retirement,Source join scientist personal when each.,Production       ,Field Operations,11-12-1946,MA,Laborer,Female,95167,White,Married,Fully Meets,3,medium
1690,Kyler,Morales,26-Feb-19,26-Jul-19,Senior BI Developer,Tracy Price,kyler.morales@bilearner.com,NEL,Active,Contract,Zone A,Temporary,Voluntary,Alone education career how difficult worry.,Admin Offices,Yard (Material Handling),20-01-1942,MA,Administrative,Male,56249,Black,Widowed,Fully Meets,3,medium
2999,Travis,Cardenas,28-Oct-18,04-Aug-19,Production Technician I,Charles Brock,travis.cardenas@bilearner.com,TNS,Active,Contract,Zone B,Part-Time,Voluntary,Dream return commercial. Gas will interview.,Production       ,Field Operations,16-03-1970,MA,Project Manager,Male,3588,Asian,Divorced,Fully Meets,2,low
1364,Mollie,Jenkins,03-Apr-19,05-Aug-19,Accountant I,Danny Williams,mollie.jenkins@bilearner.com,MSC,Active,Contract,Zone C,Temporary,Voluntary,Create although card she best and music.,Admin Offices,Finance & Accounting,20-01-1973,MA,Administration,Male,32101,White,Divorced,Exceeds,3,medium
3588,Selena,Greer,25-Jun-19,15-Aug-19,Production Technician I,Paul Lopez,selena.greer@bilearner.com,NEL,Active,Full-Time,Zone C,Full-Time,Retirement,Everybody no four arrive major ten culture.,Production       ,Shop (Fleet),08-03-1972,MA,Mechanic,Male,14504,Black,Widowed,Fully Meets,2,low
1392,Jeanette,Tippett,07-Jun-19,15-Aug-19,Production Technician I,David Stephens,jeanette.tippett@bilearner.com,PL,Active,Part-Time,Zone A,Part-Time,Involuntary,Because wind like.,Production       ,Field Operations,25-02-1955,MA,Operator,Female,2093,Hispanic,Widowed,Exceeds,3,medium
1988,Juliana,Dyer,23-Nov-18,19-Aug-19,Production Technician I,Lisa Jones,juliana.dyer@bilearner.com,TNS,Active,Contract,Zone A,Temporary,Retirement,Seven president one. Wind education reveal old.,Production       ,Field Operations,26-10-1989,MA,Laborer,Female,97548,Black,Single,Fully Meets,3,medium
1342,Jeffery,Hogan,22-Jun-19,26-Aug-19,Accountant I,Mark Willis,jeffery.hogan@bilearner.com,EW,Active,Full-Time,Zone B,Part-Time,Retirement,Win paper unit drug nearly card.,Admin Offices,Aerial,30-06-1985,MA,Lineman,Female,2559,Asian,Single,Fully Meets,3,medium
1873,Nathalie,Rivera,20-Jul-19,28-Aug-19,Production Technician II,Christine Larson,nathalie.rivera@bilearner.com,BPC,Active,Contract,Zone C,Temporary,Involuntary,Art professional rather move explain.,Production       ,Engineers,23-01-1960,MA,Technician,Female,76588,Black,Married,Fully Meets,3,medium
3854,Jayden,Mckee,06-Jun-19,05-Sep-19,Network Engineer,Matthew Miranda,jayden.mckee@bilearner.com,WBL,Active,Part-Time,Zone B,Temporary,Retirement,Area card test push day effect.,Executive Office,Technology / It,24-01-1942,MA,Manager,Male,72343,Black,Single,Fully Meets,3,medium
2297,Deandre,Richard,18-Dec-18,25-Sep-19,Production Manager,Christine Adams,deandre.richard@bilearner.com,WBL,Voluntarily Terminated,Part-Time,Zone C,Full-Time,Resignation,Gas place rich dog process movement along.,Production       ,Aerial,23-09-1958,MA,Laborer,Female,92649,Black,Single,Fully Meets,2,low
3217,Sarah,Akinkuolie,20-Jan-19,01-Oct-19,Production Technician II,Karen Munoz,sarah.akinkuolie@bilearner.com,BPC,Voluntarily Terminated,Contract,Zone B,Full-Time,Resignation,Summer begin quickly.,Production       ,General - Con,28-09-1968,MA,Technician,Female,1810,White,Single,Fully Meets,3,medium
1914,Rebecca,Craig,15-Mar-19,02-Oct-19,Production Technician II,Deanna Freeman,rebecca.craig@bilearner.com,WBL,Voluntarily Terminated,Part-Time,Zone B,Full-Time,Resignation,Scene receive customer way medical way itself.,Production       ,Engineers,04-04-1981,MA,Project Manager,Female,34085,Other,Married,Fully Meets,3,medium
3296,Isis,Brooks,07-Jan-19,08-Oct-19,Production Technician I,Michael Palmer,isis.brooks@bilearner.com,BPC,Leave of Absence,Part-Time,Zone C,Full-Time,Voluntary,Maybe despite performance rather evidence.,Production       ,Field Operations,07-10-1947,MA,Foreman,Male,24886,White,Married,PIP,2,low
2790,Angelo,Henry,30-Apr-19,09-Oct-19,Production Technician I,Warren Pollard,angelo.henry@bilearner.com,EW,Active,Contract,Zone B,Part-Time,Involuntary,Above fight animal support beautiful.,Production       ,Catv,08-08-1959,MA,Laborer,Male,64694,Hispanic,Widowed,Fully Meets,4,high
2921,Yadira,Dean,22-Sep-18,10-Oct-19,Production Technician I,Stephanie Perez,yadira.dean@bilearner.com,TNS,Active,Full-Time,Zone B,Part-Time,Retirement,Unit develop chance scene court.,Production       ,Aerial,08-08-1957,MA,Lineman,Female,66834,Asian,Divorced,Exceeds,2,low
1997,Karli,Ross,28-Feb-19,11-Oct-19,Production Technician II,Ricky Stephens,karli.ross@bilearner.com,WBL,Active,Part-Time,Zone B,Full-Time,Retirement,Tv she everybody picture budget.,Production       ,Wireline Construction,09-06-1990,MA,Project Manager,Female,64180,Asian,Divorced,Fully Meets,3,medium
2603,Kaitlynn,Aguirre,05-Mar-19,12-Oct-19,Area Sales Manager,Jessica Rose,kaitlynn.aguirre@bilearner.com,NEL,Active,Part-Time,Zone A,Full-Time,Involuntary,Front tend couple a budget strategy.,Sales,Splicing,08-06-1999,MA,Splicer,Male,18574,Other,Divorced,Fully Meets,2,low
3659,Kaylee,Baldwin,02-Oct-19,13-Oct-19,Production Technician I,Eric Powell,kaylee.baldwin@bilearner.com,CCDR,Active,Full-Time,Zone A,Part-Time,Voluntary,Second focus stay scientist.,Production       ,Field Operations,30-10-1989,MA,Engineer,Male,86746,Other,Divorced,Exceeds,1,very low
1753,Rodolfo,Michael,20-Jun-19,14-Oct-19,Production Technician I,Kimberly Williams,rodolfo.michael@bilearner.com,BPC,Active,Contract,Zone C,Full-Time,Resignation,Available no skill newspaper herself.,Production       ,Field Operations,07-03-1943,MA,Assistant,Male,42759,Black,Divorced,Fully Meets,3,medium
2078,Alejandra,Barnes,26-Sep-18,15-Oct-19,Production Technician I,Yolanda Sanders,alejandra.barnes@bilearner.com,SVG,Voluntarily Terminated,Full-Time,Zone B,Temporary,Voluntary,Until factor claim chance.,Production       ,Field Operations,26-10-1986,MA,Laborer,Female,50499,White,Single,Fully Meets,3,medium
1208,Jazlene,Mcdaniel,17-Aug-19,25-Oct-19,Production Manager,Melissa Greene,jazlene.mcdaniel@bilearner.com,NEL,Active,Contract,Zone A,Part-Time,Retirement,Decision example see low someone. Ball week that.,Production       ,Wireline Construction,30-12-1979,MA,Laborer,Female,59862,Black,Single,Fully Meets,3,medium
3470,Esteban,Gilbert,14-Nov-18,28-Oct-19,Area Sales Manager,Gail Ali,esteban.gilbert@bilearner.com,BPC,Future Start,Contract,Zone C,Part-Time,Retirement,Speak professor statement result.,Sales,Field Operations,31-05-1997,TX,Technician,Female,12491,Black,Married,Needs Improvement,3,medium
3438,Dheepa,Nguyen,10-Aug-18,04-Nov-19,Area Sales Manager,Brian Miller,dheepa.nguyen@bilearner.com,MSC,Active,Full-Time,Zone C,Temporary,Retirement,Alone once than. More condition pay far.,Sales,General - Con,06-04-1948,GA,Technician,Female,30428,Asian,Married,Fully Meets,3,medium
1628,Binh,Le,15-Dec-18,14-Nov-19,Senior BI Developer,Walter Thompson,binh.le@bilearner.com,CCDR,Active,Part-Time,Zone A,Temporary,Retirement,Evidence but adult coach claim minute simple.,IT/IS,Catv,12-04-1974,MA,Foreman,Female,1886,Asian,Single,Needs Improvement,3,medium
1610,Raegan,Spence,09-Nov-19,18-Nov-19,Production Technician I,Wendy Williamson,raegan.spence@bilearner.com,EW,Active,Part-Time,Zone B,Full-Time,Involuntary,Option action around live school rich spend.,Production       ,General - Con,28-01-1986,MA,Flagger,Female,67750,White,Single,Needs Improvement,3,medium
1858,Lailah,Haney,07-May-19,27-Nov-19,Production Technician I,Ryan Baker,lailah.haney@bilearner.com,TNS,Active,Contract,Zone A,Full-Time,Resignation,Reality line toward follow well able.,Production       ,Wireline Construction,20-02-1988,MA,Lineman,Female,16981,Asian,Widowed,Exceeds,3,medium
1494,Juliana,Schroeder,13-Oct-18,04-Dec-19,Production Technician II,Miranda Brown,juliana.schroeder@bilearner.com,EW,Voluntarily Terminated,Contract,Zone B,Full-Time,Retirement,Thing join brother throughout.,Production       ,Splicing,12-03-1949,MA,Coordinator,Female,18325,Hispanic,Divorced,Fully Meets,3,medium
1710,Jaden,Houston,15-Feb-19,09-Dec-19,Senior BI Developer,Paige Eaton DDS,jaden.houston@bilearner.com,PL,Active,Part-Time,Zone A,Part-Time,Resignation,Threat day deep final personal alone picture.,Admin Offices,Field Operations,24-05-1971,MA,Technician,Male,46239,Black,Divorced,Fully Meets,3,medium
1775,Julie,Cochran,06-Oct-18,12-Dec-19,Production Technician I,Scott Smith,julie.cochran@bilearner.com,TNS,Active,Contract,Zone A,Full-Time,Involuntary,Sing participant involve themselves plan.,Production       ,Engineers,11-05-1997,MA,Engineer,Male,23434,Black,Single,Fully Meets,3,medium
2612,Amiya,Richardson,27-Aug-18,19-Dec-19,Area Sales Manager,Jacob Nelson,amiya.richardson@bilearner.com,WBL,Active,Part-Time,Zone B,Part-Time,Retirement,Site cut debate own born six.,Sales,Field Operations,01-07-1963,ID,Driller,Male,95112,White,Married,Fully Meets,4,high
3990,Damarion,Schneider,02-Dec-19,26-Dec-19,Sr. Accountant,Caitlin Murphy,damarion.schneider@bilearner.com,WBL,Future Start,Contract,Zone C,Temporary,Involuntary,Follow hit perform arm.,IT/IS,Safety,18-12-1956,MA,Safety,Male,73329,White,Divorced,Fully Meets,3,medium
1653,Greta,Fields,06-Nov-18,26-Dec-19,Area Sales Manager,Alyssa Gutierrez,greta.fields@bilearner.com,EW,Active,Part-Time,Zone B,Temporary,Involuntary,Within amount each onto hair. Single hope threat.,IT/IS,Field Operations,07-01-1957,MA,Foreman,Male,63435,Hispanic,Married,Fully Meets,3,medium
3213,Hamish,Garneau,17-Nov-18,27-Dec-19,Production Technician I,Brandy Ferguson,hamish.garneau@bilearner.com,WBL,Active,Full-Time,Zone A,Part-Time,Involuntary,Mr everyone identify how pressure way.,Production       ,Field Operations,28-06-1952,MA,Laborer,Male,1550,Hispanic,Widowed,Fully Meets,2,low
1642,Julia,Jimenez,22-Nov-19,28-Dec-19,BI Developer,Jennifer Davies,julia.jimenez@bilearner.com,PL,Terminated for Cause,Contract,Zone A,Part-Time,Retirement,Nature here wrong why.,IT/IS,Wireline Construction,23-09-1946,MA,Project Manager,Female,9049,Black,Single,Fully Meets,3,medium
1270,Yahir,Hill,01-May-19,31-Dec-19,Production Technician I,Adam Miller,yahir.hill@bilearner.com,TNS,Active,Part-Time,Zone C,Full-Time,Voluntary,When approach anyone hold along.,Production       ,Field Operations,17-10-1967,MA,Laborer,Female,79937,Hispanic,Married,Fully Meets,3,medium
2882,Lamar,Kirk,21-May-19,05-Jan-20,Production Technician I,Peter Norton,lamar.kirk@bilearner.com,PL,Voluntarily Terminated,Part-Time,Zone B,Full-Time,Retirement,Since step style stage sound it.,Production       ,Shop (Fleet),29-11-1978,MA,Welder,Male,85827,Asian,Widowed,Fully Meets,4,high
2654,Lauryn,Anthony,22-Aug-19,07-Jan-20,Area Sales Manager,Mark Hernandez,lauryn.anthony@bilearner.com,WBL,Active,Full-Time,Zone C,Temporary,Resignation,Stay herself cultural pass large.,Sales,General - Con,09-07-1955,MA,Operator,Male,97492,Black,Divorced,Fully Meets,4,high
2942,Eliana,Hammond,30-May-19,08-Jan-20,Production Technician I,Susan Herrera,eliana.hammond@bilearner.com,TNS,Active,Full-Time,Zone C,Part-Time,Retirement,Answer today entire deep.,Production       ,General - Sga,01-03-1949,MA,Technician,Female,21328,Black,Widowed,Needs Improvement,2,low
3292,Nadia,Romero,12-Jan-19,09-Jan-20,Production Technician I,Connor Wallace,nadia.romero@bilearner.com,PYZ,Voluntarily Terminated,Part-Time,Zone C,Part-Time,Retirement,Four read some later whether lose system.,Production       ,Field Operations,13-05-1946,MA,Engineer,Male,2769,Asian,Single,Fully Meets,4,high
1041,Camden,Kelly,11-Nov-19,10-Jan-20,Software Engineer,Brandon Ortiz,camden.kelly@bilearner.com,TNS,Voluntarily Terminated,Full-Time,Zone A,Full-Time,Retirement,Suffer consider store find up.,Software Engineering,Engineers,04-11-1976,MA,Administrative,Male,45272,White,Single,Fully Meets,3,medium
3180,Johnny,Whitehead,07-Jun-19,11-Jan-20,Production Technician II,Jennifer Dean,johnny.whitehead@bilearner.com,PYZ,Voluntarily Terminated,Full-Time,Zone B,Temporary,Retirement,Begin person since way. Thus region happy no.,Production       ,Field Operations,27-10-1997,MA,Technician,Female,14828,Hispanic,Divorced,Fully Meets,4,high
2008,Kaila,Johnston,15-Jul-19,13-Jan-20,Production Technician I,Michelle Taylor,kaila.johnston@bilearner.com,BPC,Active,Part-Time,Zone A,Temporary,Voluntary,Follow yourself child to foot.,Production       ,Field Operations,03-09-1941,MA,Lineman,Female,67443,Asian,Widowed,Fully Meets,3,medium
1062,Travis,Vasquez,18-May-19,14-Jan-20,Software Engineer,Amanda Hale,travis.vasquez@bilearner.com,BPC,Voluntarily Terminated,Part-Time,Zone A,Part-Time,Involuntary,Rise activity learn step power simple sure.,Software Engineering,Engineers,03-11-1969,MA,Program Manager,Male,59717,Hispanic,Married,Fully Meets,3,medium
3556,Damien,Howe,18-Jul-19,15-Jan-20,Area Sales Manager,Sarah Petersen,damien.howe@bilearner.com,CCDR,Active,Full-Time,Zone B,Temporary,Retirement,Community material much behind.,Sales,Wireline Construction,16-06-1961,CA,Vp,Male,86009,White,Single,Exceeds,2,low
3267,Perla,Terry,12-Dec-19,17-Jan-20,Production Technician I,Lindsey Aguilar,perla.terry@bilearner.com,SVG,Active,Contract,Zone C,Part-Time,Voluntary,Smile wife newspaper attorney dog discuss write.,Production       ,Splicing,07-11-1963,MA,Laborer,Female,52402,Other,Single,Fully Meets,5,very high
3366,Andre,Allison,20-Jan-19,18-Jan-20,Production Technician II,Angela Fowler,andre.allison@bilearner.com,PL,Voluntarily Terminated,Contract,Zone C,Full-Time,Voluntary,Modern a study speak. Front choose central which.,Production       ,General - Con,14-05-1976,MA,Project Manager,Male,74701,Black,Widowed,Exceeds,4,high
2112,Emilio,Pierce,30-Jul-19,21-Jan-20,Production Technician I,Cristina Davis,emilio.pierce@bilearner.com,EW,Active,Part-Time,Zone B,Temporary,Voluntary,Guy present clear.,Production       ,Engineers,24-09-1943,MA,Technician,Female,65114,Other,Widowed,Exceeds,4,high
2656,Urijah,Houston,31-Oct-18,23-Jan-20,Area Sales Manager,Tony Moore,urijah.houston@bilearner.com,PL,Active,Part-Time,Zone B,Part-Time,Voluntary,Detail see down common great on especially.,Sales,Aerial,10-02-1957,AZ,Splicer,Male,71509,Hispanic,Single,Fully Meets,4,high
2404,Alena,Ibarra,26-Jun-19,27-Jan-20,Production Manager,Brandy Coleman,alena.ibarra@bilearner.com,CCDR,Active,Contract,Zone C,Temporary,Voluntary,Into go between. Before number education fast.,Production       ,General - Con,19-05-1949,MA,Manager,Female,25247,White,Divorced,Fully Meets,2,low
3869,Damari,Brewer,25-Sep-19,07-Feb-20,IT Support,Shawn Martin,damari.brewer@bilearner.com,NEL,Active,Full-Time,Zone A,Temporary,Voluntary,Investment radio bring who. Big move rise return.,IT/IS,Field Operations,10-06-1977,MA,Drafter,Male,49132,Hispanic,Divorced,Fully Meets,3,medium
1220,Levi,Lawson,20-Nov-18,09-Feb-20,Production Technician I,Terry Flores,levi.lawson@bilearner.com,CCDR,Voluntarily Terminated,Full-Time,Zone C,Temporary,Voluntary,Center positive their garden industry.,Production       ,Executive,31-12-1949,MA,Vp,Female,89298,Asian,Single,Fully Meets,3,medium
1249,Aimee,Terry,07-Jul-19,14-Feb-20,Production Technician I,Christopher Stewart,aimee.terry@bilearner.com,TNS,Active,Full-Time,Zone A,Part-Time,Retirement,Seek TV finally impact really build.,Production       ,Field Operations,30-11-1996,MA,Driver,Female,46879,Asian,Divorced,Fully Meets,3,medium
1532,Rene,Pena,22-Nov-19,18-Feb-20,Production Technician I,Kendra Huerta,rene.pena@bilearner.com,SVG,Leave of Absence,Part-Time,Zone B,Full-Time,Retirement,Most receive serve way recent up with.,Production       ,General - Con,10-03-1944,MA,Technician,Female,74746,Asian,Divorced,Fully Meets,3,medium
3156,Pierce,Charles,18-Jul-19,19-Feb-20,Production Technician II,Jenny Ray,pierce.charles@bilearner.com,MSC,Voluntarily Terminated,Contract,Zone B,Part-Time,Voluntary,Else feel no individual.,Production       ,General - Con,16-07-1962,MA,Lineman,Female,65327,Black,Married,Fully Meets,5,very high
2564,Deandre,Oneal,31-Oct-19,01-Mar-20,Director of Sales,Brian Mueller,deandre.oneal@bilearner.com,CCDR,Active,Contract,Zone B,Full-Time,Voluntary,Finish law price under.,Sales,General - Con,11-07-1995,MA,Flagger,Male,36351,Hispanic,Married,Fully Meets,1,very low
1126,Gretchen,Richard,08-Sep-18,06-Mar-20,Production Technician II,Tony Pratt,gretchen.richard@bilearner.com,NEL,Voluntarily Terminated,Part-Time,Zone C,Temporary,Retirement,Feeling usually west peace money political the.,Production       ,Engineers,27-10-1959,MA,Engineer,Male,6305,White,Divorced,Fully Meets,3,medium
1860,Frankie,Banks,10-Dec-19,07-Mar-20,Production Technician I,Jenna Perry,frankie.banks@bilearner.com,WBL,Voluntarily Terminated,Part-Time,Zone B,Full-Time,Involuntary,Entire list exactly control enough.,Production       ,Project Management - Con,09-06-2000,MA,Coordinator,Female,34484,Asian,Divorced,Exceeds,3,medium
2344,Jaden,Bates,26-Oct-19,10-Mar-20,Production Manager,Regina Smith,jaden.bates@bilearner.com,PL,Active,Contract,Zone C,Temporary,Retirement,Money start prove.,Production       ,Yard (Material Handling),23-08-1991,MA,Engineer,Female,42542,Other,Divorced,Fully Meets,1,very low
